ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ,,
OneOFF_Astro_MiAViG_Event_1,10,MiAViG - Event 1,"Mars in Aries, Venus in Gemini - Instance 1 of the Constellation of This. The Original Event occurring whilst in Toronto.",TRUE,GY_ONEOFF,,,1,1994-05-24,1994,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,24,,,,1994-06-14,,,
OneOFF_Astro_MiAViG_Event_2,20,MiAViG - Event 2,"Mars in Aries, Venus in Gemini - Instance 2 of the Constellation of This, the Delayed Event - happening 2 years later than the normal cycle. The moment This Universe waited.",TRUE,GY_ONEOFF,,,29,2022-07-19,2022,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,19,,,,2022-08-10,,,
OneOFF_Astro_MiAViG_Event_3,30,MiAViG - Event 3,"Mars in Aries, Venus in Gemini - Instance 3 of the Constellation of This, the 2nd of this set of three.",TRUE,GY_ONEOFF,,,31,2024-06-18,2024,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,18,,,,2024-07-11,,,
OneOFF_Astro_MiAViG_Event_4,40,MiAViG - Event 4,"Mars in Aries, Venus in Gemini - Instance 4 of the Constellation of This, the 3rd of this set of 3, perhaps the last we shall ever see.",TRUE,GY_ONEOFF,,,33,2026-05-20,2026,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,20,,,,2026-06-12,,,
OneOFF_Astro_MiAViG_Event_5,50,MiAViG - Event 5,"Mars in Aries, Venus in Gemini - Instance 5 of the Constellation of This",TRUE,GY_ONEOFF,,,59,2052-08-25,2052,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,25,,,,2052-09-05,,,
OneOFF_Astro_MiAViG_Event_6,60,MiAViG - Event 6,"Mars in Aries, Venus in Gemini - Instance 6 of the Constellation of This",TRUE,GY_ONEOFF,,,61,2054-07-17,2054,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,17,,,,2054-08-03,,,
OneOFF_Astro_MiAViG_Event_7,70,MiAViG - Event 7,"Mars in Aries, Venus in Gemini - Instance 7 of the Constellation of This",TRUE,GY_ONEOFF,,,63,2056-06-17,2056,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,17,,,,2056-07-08,,,
OneOFF_Astro_MiAViG_Event_8,80,MiAViG - Event 8,"Mars in Aries, Venus in Gemini - Instance 8 of the Constellation of This",TRUE,GY_ONEOFF,,,65,2058-05-19,2058,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,19,,,,2058-06-11,,,
OneOFF_Astro_MiAViG_Event_9,90,MiAViG - Event 9,"Mars in Aries, Venus in Gemini - Instance 9 of the Constellation of This",TRUE,GY_ONEOFF,,,91,2084-08-09,2084,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,9,,,,2084-09-04,,,
OneOFF_Astro_MiAViG_Event_10,100,MiAViG - Event 10,"Mars in Aries, Venus in Gemini - Instance 10 of the Constellation of This",TRUE,GY_ONEOFF,,,93,2086-07-16,2086,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,16,,,,2086-07-28,,,
