ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ
"OneOFF_MiAViG_MiA,ViG_-_Event_#_1",10,"MiA,ViG - Event # 1","Mars in Aries, Venus in Gemini - Instance 1 of the Constellation of This. The Original Event occurring whilst in Toronto.",TRUE,GY_ONEOFF,,,0001,1994-05-24 00:00:00,1994,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,24,,,,1994-06-14 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_2",20,"MiA,ViG - Event # 2","Mars in Aries, Venus in Gemini - Instance 2 of the Constellation of This, the Delayed Event - happening 2 years later than the normal cycle. The moment This Universe waited.",TRUE,GY_ONEOFF,,,0029,2022-07-19 00:00:00,2022,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,19,,,,2022-08-10 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_3",30,"MiA,ViG - Event # 3","Mars in Aries, Venus in Gemini - Instance 3 of the Constellation of This, the 2nd of this set of three.",TRUE,GY_ONEOFF,,,0031,2024-06-18 00:00:00,2024,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,18,,,,2024-07-11 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_4",40,"MiA,ViG - Event # 4","Mars in Aries, Venus in Gemini - Instance 4 of the Constellation of This, the 3rd of this set of 3, perhaps the last we shall ever see.",TRUE,GY_ONEOFF,,,0033,2026-05-20 00:00:00,2026,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,20,,,,2026-06-12 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_5",50,"MiA,ViG - Event # 5","Mars in Aries, Venus in Gemini - Instance 5 of the Constellation of This",TRUE,GY_ONEOFF,,,0059,2052-08-25 00:00:00,2052,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,25,,,,2052-09-05 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_6",60,"MiA,ViG - Event # 6","Mars in Aries, Venus in Gemini - Instance 6 of the Constellation of This",TRUE,GY_ONEOFF,,,0061,2054-07-17 00:00:00,2054,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,17,,,,2054-08-03 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_7",70,"MiA,ViG - Event # 7","Mars in Aries, Venus in Gemini - Instance 7 of the Constellation of This",TRUE,GY_ONEOFF,,,0063,2056-06-17 00:00:00,2056,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,17,,,,2056-07-08 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_8",80,"MiA,ViG - Event # 8","Mars in Aries, Venus in Gemini - Instance 8 of the Constellation of This",TRUE,GY_ONEOFF,,,0065,2058-05-19 00:00:00,2058,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,19,,,,2058-06-11 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_9",90,"MiA,ViG - Event # 9","Mars in Aries, Venus in Gemini - Instance 9 of the Constellation of This",TRUE,GY_ONEOFF,,,0091,2084-08-09 00:00:00,2084,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,9,,,,2084-09-04 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_10",100,"MiA,ViG - Event # 10","Mars in Aries, Venus in Gemini - Instance 10 of the Constellation of This",TRUE,GY_ONEOFF,,,0093,2086-07-16 00:00:00,2086,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,16,,,,2086-07-28 00:00:00,
