ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ
OneOFF_StarSystem_0000,10,Toronto International Airport,The Wavefront was released from Toronto International Airport,FALSE,GY_ONEOFF,,,,34488.64583,1994,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,6,3,,,,,
OneOFF_StarSystem_0001,20,Solar System - Sun (Sol),Star System No. 1 has now been reached by the Wave Front: Solar System - Sun (Sol),FALSE,GY_ONEOFF,,,,34488.63077,1994,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,6,3,,,,,
OneOFF_StarSystem_0002,30,"Alpha Centauri - Proxima Centauri (C, V645 Centauri)","Star System No. 2 has now been reached by the Wave Front: Alpha Centauri - Proxima Centauri (C, V645 Centauri)",FALSE,GY_ONEOFF,,,,36039.65913,1998,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,9,1,,,,,
OneOFF_StarSystem_0003,40,Alpha Centauri - Rigil Kentaurus (A),Star System No. 3 has now been reached by the Wave Front: Alpha Centauri - Rigil Kentaurus (A),FALSE,GY_ONEOFF,,,,36075.30753,1998,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,10,7,,,,,
OneOFF_StarSystem_0004,50,Alpha Centauri - Toliman (B),Star System No. 4 has now been reached by the Wave Front: Alpha Centauri - Toliman (B),FALSE,GY_ONEOFF,,,,36075.32836,1998,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,10,7,,,,,
OneOFF_StarSystem_0005,60,Barnard's Star (BD+04°3561a),Star System No. 5 has now been reached by the Wave Front: Barnard's Star (BD+04°3561a),FALSE,GY_ONEOFF,,,,36666.57423,2000,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,5,20,,,,,
OneOFF_StarSystem_0006,70,Luhman 16 - A,Star System No. 6 has now been reached by the Wave Front: Luhman 16 - A,FALSE,GY_ONEOFF,,,,36863.80923,2000,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,12,3,,,,,
OneOFF_StarSystem_0007,80,(WISE 1049−5319) - B,Star System No. 7 has now been reached by the Wave Front: (WISE 1049−5319) - B,FALSE,GY_ONEOFF,,,,36863.83006,2000,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,12,3,,,,,
OneOFF_StarSystem_0008,90,WISE 0855−0714,Star System No. 8 has now been reached by the Wave Front: WISE 0855−0714,FALSE,GY_ONEOFF,,,,37202.4325,2001,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,11,7,,,,,
OneOFF_StarSystem_0009,100,Wolf 359 (CN Leonis),Star System No. 9 has now been reached by the Wave Front: Wolf 359 (CN Leonis),FALSE,GY_ONEOFF,,,,37357.95595,2002,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,4,11,,,,,
OneOFF_StarSystem_0010,110,"Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)","Star System No. 10 has now been reached by the Wave Front: Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)",FALSE,GY_ONEOFF,,,,37521.8071,2002,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,9,22,,,,,
OneOFF_StarSystem_0011,120,Sirius (Alpha Canis Majoris) - A,Star System No. 11 has now been reached by the Wave Front: Sirius (Alpha Canis Majoris) - A,FALSE,GY_ONEOFF,,,,37669.73335,2003,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,2,17,,,,,
OneOFF_StarSystem_0012,130,Sirius (Alpha Canis Majoris) - B,Star System No. 12 has now been reached by the Wave Front: Sirius (Alpha Canis Majoris) - B,FALSE,GY_ONEOFF,,,,37669.75418,2003,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,2,17,,,,,
OneOFF_StarSystem_0013,140,Gliese 65 (Luyten 726–8) - A (BL Ceti),Star System No. 13 has now been reached by the Wave Front: Gliese 65 (Luyten 726–8) - A (BL Ceti),FALSE,GY_ONEOFF,,,,37675.066,2003,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,2,23,,,,,
OneOFF_StarSystem_0014,150,Gliese 65 (Luyten 726–8) - B (UV Ceti),Star System No. 14 has now been reached by the Wave Front: Gliese 65 (Luyten 726–8) - B (UV Ceti),FALSE,GY_ONEOFF,,,,37675.08683,2003,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,2,23,,,,,
OneOFF_StarSystem_0015,160,Ross 154 (V1216 Sagittarii),Star System No. 15 has now been reached by the Wave Front: Ross 154 (V1216 Sagittarii),FALSE,GY_ONEOFF,,,,38033.85108,2004,TRUE,TRUE,FALSE,OneOFF_StarSystem,6,2,16,,,,,
