#,Spotify URL,Song Title,Artists
1,https://open.spotify.com/track/1zjhjLhNZ4escTEjL1XmPX,Strange Invitation,Beck
2,https://open.spotify.com/track/2xYFM3WGU1LJC9PrRa0rdI,Follow The Yellow Brick Road,"Andrew Lloyd Webber, Danielle Hope, Emily Tierney"
3,https://open.spotify.com/track/6RIjXiJn7civHlV8KBVWHw,Hello,The Cat Empire
4,https://open.spotify.com/track/3l5R0ltI7UufbrjK6Kj0Nv,"Hello, I Love You",The Doors
5,https://open.spotify.com/track/6fut8mo6sof0srjhQwAy9x,Parallel Universe,Red Hot Chili Peppers
6,https://open.spotify.com/track/5Ago3we4fEN2pIoFzpSNDZ,Different Sides,Leonard Cohen
7,https://open.spotify.com/track/6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors
8,https://open.spotify.com/track/3i6qNxyVgIdUZTTi5m25EM,Bitch,Meredith Brooks
9,https://open.spotify.com/track/5kOlvawJm7V3N9hXsZcNNY,Sweet Child O' Mine,Guns N Roses
10,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles
11,https://open.spotify.com/track/4IadxL6BUymXlh8RCJJu7T,Too Sweet,Hozier
12,https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,The Verve
13,https://open.spotify.com/track/46ShsS3tyqJAJdxUjPezdI,Sweet Surrender,Sarah McLachlan
14,https://open.spotify.com/track/3egL9hi9xPghPOL5QXRLuL,Surrender,U2
15,https://open.spotify.com/track/6si71supnBUhddjR2FJc2L,White Flag,Dido
17,https://open.spotify.com/track/1N0diGt4e1pzmbxhZAFyjz,Scream In Blue,Midnight Oil
18,https://open.spotify.com/track/3FAclTFfvUuQYnEsptbK8w,Back To Black,Amy Winehouse
19,https://open.spotify.com/track/6znkBTmxxczNEvXrrK3zpY,The Beauty Of Gray,Live
20,https://open.spotify.com/track/7vVYqVFAdEFbiAMh8aPFaJ,Shimmer,Fuel
21,https://open.spotify.com/track/2SAC2na7eq3ZNZsrX4KLv2,Fade To Grey,Visage
22,https://open.spotify.com/track/2QwObYJWyJTiozvs0RI7CF,Street Spirit (Fade Out),Radiohead
23,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3,Overpass Graffiti,Ed Sheeran
24,https://open.spotify.com/track/4RqW6FZXZLUrndtWNaMGAf,"Turandot, Act III: Nessun dorma!","Giacomo Puccini, Luciano Pavarotti, John Alldis Choir, Wandsworth School Boys Choir, London Philharmonic Orchestra, Zubin Mehta"
25,https://open.spotify.com/track/0EzhvpLRnXvi0sDutWWfov,Bad,U2
26,https://open.spotify.com/track/6pmuu4qSz2WrtGkBjUfyuz,Birdhouse in Your Soul,They Might Be Giants
27,https://open.spotify.com/track/70ig2ko4IY6f2Tj23Bwhmu,Hearts A Mess,Gotye
28,https://open.spotify.com/track/3vNFsxBbA4dPkymPF5Jm1b,This Mess We're In,"PJ Harvey, Thom Yorke"
29,https://open.spotify.com/track/1OEcurgrLQl9ErNj5P8lAL,Messy,Holly Wild
30,https://open.spotify.com/track/6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles
31,https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),Taylor Swift
33,https://open.spotify.com/track/0BBgo2AFdRo0hGqErQm3UC,Crazy to Love You,Leonard Cohen
34,https://open.spotify.com/track/6Z74uiEZW56T0ts4Y80XSK,The Trial,Roger Waters
35,https://open.spotify.com/track/4Mnipal0d875Z5Zb1McRPE,You Might Think,The Cars
36,https://open.spotify.com/track/7e6FePRWR5WXUxjf5SaKGi,On My Way,Alex Lahey
