ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gergorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank
Special_Barrel_Day,10,Barrel Day,The day we first danced,TRUE,SY,1,1,0001,19/01/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Hot_Tub_Party,20,Hot Tub Party,The night we first kissed,TRUE,SY,1,4,0001,22/01/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Meatloaf_Concert,30,Meatloaf Concert,The concert to which we won tickets,TRUE,SY,2,1,0001,3/02/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Graduation_Ball,40,Graduation Ball,The Night of the Graduation Ball,TRUE,SY,3,1,0001,4/03/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Aphrodite's_Day,50,Aphrodite's Day,Her Birthday,TRUE,SY,4,1,0001,13/04/1970,1994,TRUE,TRUE,FALSE,Special,1
Special_Royal_York_Day,60,Royal York Day,Our night at the Royal York,TRUE,SY,5,1,0001,26/04/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Europe_Day,70,Europe Day,The Day I flew to Europe,TRUE,SY,5,2,0001,27/04/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Constellation_Opens,80,Constellation Opens,"Mars in Aries, Venus in Gemini - Opens",TRUE,SY,5,26,0001,21/05/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Return_Day,90,Return Day,The Day I returned from Europe,TRUE,SY,6,1,0001,23/05/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Leaving_Day,100,Leaving Day,The Day I left Toronto,TRUE,SY,7,1,0001,3/06/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_Constellation_Closes,110,Constellation Closes,"Mars in Aries, Venus in Gemini - Closes",TRUE,SY,7,11,0001,13/06/1994,1994,TRUE,TRUE,FALSE,Special,1
Special_The_Great_Return,120,The Great Return,The Day we met once more,TRUE,SY,8,1,0029,6/08/2022,2022,TRUE,TRUE,FALSE,Special,1
Special_Hug_Day,130,Hug Day,The Day of Our Hug,TRUE,SY,8,4,0029,9/08/2022,2022,TRUE,TRUE,FALSE,Special,1
Special_Our_Italian_Restaurant,140,Our Italian Restaurant,Lunch at Our Italian Restaurant,TRUE,SY,8,12,0029,17/08/2022,2022,TRUE,TRUE,FALSE,Special,1
Special_Mistake_Day,150,Mistake Day,The Day I made that mistake,TRUE,SY,10,1,0026,11/10/2019,2019,TRUE,TRUE,FALSE,Special,1
Special_Reconnection,160,Reconnection,The Day we Reconnected,TRUE,SY,10,4,0026,14/10/2019,2019,TRUE,TRUE,FALSE,Special,1
Special_Admission_Day,170,Admission Day,The Day we Admitted,TRUE,SY,11,1,0026,25/10/2019,2019,TRUE,TRUE,FALSE,Special,1
Special_Frustration_Day,180,Frustration Day,The Night Frustration Won,TRUE,SY,11,9,0026,2/11/2019,2019,TRUE,TRUE,FALSE,Special,1
Special_Anamcara_Day,190,Anamcara Day,The Day we Discovered its Name,TRUE,SY,12,1,0026,11/12/2019,2019,TRUE,TRUE,FALSE,Special,1
Special_Dream_Day,200,Dream Day,The Day the Dream first appeared,TRUE,SY,13,1,0001,4/01/1994,1994,TRUE,TRUE,FALSE,Special,1
